iteration,total_loss,PQ,SQ,RQ,mAP,mAP@50,mAP@25
143,38.613878678530455,0.03185524078483437,55.651105651105645,0.05724098454493417,9.10952149960943e-06,4.0992846748242435e-05,0.17713143187917518
287,34.177077827975154,0.17700915412765178,53.924574453888205,0.32825322391559203,0.017518919905469558,0.09879268202220173,7.552176674505344
431,32.70517798513174,1.1007364532143586,55.14421158298275,1.9961051606621225,0.022371162536597315,0.15410318431742653,17.966419465327064
575,30.71182968094945,5.031172275393713,60.72686292159668,8.284920434453143,1.1142708988977226,3.6133448701901245,30.84157797378199
719,26.518564242869616,10.02289772279323,61.489448786168445,16.30019120458891,3.2962045909752247,10.96572265601431,42.77969048972074
863,23.532583974301815,23.108510068164072,65.84475044527085,35.095447870778266,11.715205632150997,30.3341529684296,54.552003462179734
1007,21.30236471723765,26.05516496202096,65.34025239579688,39.87613149118628,12.292698945114884,33.00973864656574,58.78063227156901
1151,19.87710519693792,30.588095600132124,67.50304485045444,45.313653136531364,16.507546833508194,38.81140524593111,61.48943937370528
1295,19.184523615520447,31.65768598089415,67.24463066577415,47.07838479809976,16.717670121764762,40.15555846009048,61.3576058194481
1439,16.634338937932625,36.46999143566306,68.80539937974915,53.00454871917645,20.337497914965304,44.22050540732553,64.35434069621678
1583,16.499204660765827,37.90458164021146,69.96093207245042,54.17964071856287,21.99035745171942,46.06571191011344,60.99775324445429
1727,12.860602949280292,40.643093886250284,68.95756198045804,58.939284857211426,22.442247133664157,51.410760333571695,67.08889607122799
1871,14.339041788130999,46.95608534105652,69.72978673146893,67.34006734006735,29.400170825576854,63.03208712787104,74.79553051389244
2015,11.482458584359847,51.13812926834241,68.7449705180616,74.38817543009449,29.811589733085338,68.82584167108207,77.22125475267404
2159,11.222791313077323,49.71078738419358,68.1502898047405,72.94288480154889,29.985908959202895,68.55302133030304,78.33462296305512
2303,8.454756297403947,49.162367719716016,68.55758006635774,71.7096018735363,29.857203281745058,69.0046385057404,81.15741330586704
2447,8.25453805574216,52.149857997067194,68.28082265649111,76.37555607586044,31.586022304698595,72.14407866995784,82.04982899730916
2591,10.72247719578445,52.547899878129755,68.2994766827426,76.93748536642472,31.442433069471402,72.98829000512548,82.19489520947181
2735,12.052230133209378,50.59511121563811,68.25053001222874,74.13145539906102,31.701041671799686,71.3126836885189,81.79712342565146
2879,7.2639570569153875,52.79569217686208,69.03304133622852,76.47887323943662,32.64766504558833,72.3151450339084,81.93239412340795
